操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-08,09:30:00,002491,通鼎互联,buy,4.370,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-09,15:00:00,002491,通鼎互联,sell,4.470,T+2收盘回撤2.29%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10210.00
2025-02-10,09:30:00,002861,瀛通通讯,buy,18.281,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",10205.00
2025-02-12,15:00:00,002861,瀛通通讯,sell,17.009,T+2收盘回撤-7.01%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,9564.13
2025-02-26,09:30:00,000892,欢瑞世纪,buy,4.700,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",9559.13
2025-02-27,15:00:00,000892,欢瑞世纪,sell,4.830,T+2收盘回撤2.77%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9814.13
2025-03-05,09:30:00,603912,佳力图,buy,10.179,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",9809.13
2025-03-06,15:00:00,603912,佳力图,sell,10.229,T+2收盘回撤0.49%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9848.73
2025-03-11,09:30:00,002760,凤形股份,buy,25.000,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",9843.73
2025-03-12,15:00:00,002760,凤形股份,sell,25.700,T+2收盘回撤2.80%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10048.73
2025-03-14,09:30:00,002093,国脉科技,buy,13.142,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",10043.73
2025-03-17,15:00:00,002093,国脉科技,sell,13.924,T+2收盘回撤5.95%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10586.39
2025-03-19,09:30:00,002553,南方精工,buy,19.737,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",10581.39
2025-03-20,15:00:00,002553,南方精工,sell,23.210,T+2收盘回撤17.60%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12313.19
2025-03-27,09:30:00,300421,力星股份,buy,18.850,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",12308.19
2025-03-31,15:00:00,300421,力星股份,sell,18.086,T+2收盘回撤-6.47%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,11844.83
2025-04-10,09:30:00,000016,深康佳A,buy,4.260,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",11839.83
2025-04-11,15:00:00,000016,深康佳A,sell,5.100,T+2收盘回撤19.72%未触发延长，T+2收盘卖出 (no intraday-high optimization).,14102.83
2025-04-15,09:30:00,688658,悦康药业,buy,16.060,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",14097.83
2025-04-16,15:00:00,688658,悦康药业,sell,16.380,T+2收盘回撤1.99%未触发延长，T+2收盘卖出 (no intraday-high optimization).,14348.83
2025-04-18,09:30:00,601086,国芳集团,buy,10.440,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",14343.83
2025-04-21,15:00:00,601086,国芳集团,sell,12.697,T+2收盘回撤21.62%未触发延长，T+2收盘卖出 (no intraday-high optimization).,17272.87
2025-04-28,09:30:00,002251,步步高,buy,7.510,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",17267.87
2025-04-30,15:00:00,002251,步步高,sell,6.200,T+2收盘回撤-8.26%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,14380.87
2025-05-15,09:30:00,002640,跨境通,buy,5.230,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",14375.87
2025-05-16,15:00:00,002640,跨境通,sell,5.310,T+2收盘回撤1.53%未触发延长，T+2收盘卖出 (no intraday-high optimization).,14586.87
2025-05-21,09:30:00,002735,王子新材,buy,15.461,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",14581.87
2025-05-22,15:00:00,002735,王子新材,sell,17.229,T+2收盘回撤11.44%未触发延长，T+2收盘卖出 (no intraday-high optimization).,16168.90
2025-05-27,09:30:00,603011,合锻智能,buy,15.460,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",16163.90
2025-05-28,15:00:00,603011,合锻智能,sell,17.810,T+2收盘回撤15.20%未触发延长，T+2收盘卖出 (no intraday-high optimization).,18508.90
2025-06-03,09:30:00,002907,华森制药,buy,21.334,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",18503.90
2025-06-05,15:00:00,002907,华森制药,sell,19.367,T+2收盘回撤-6.08%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,16925.59
2025-06-09,09:30:00,000506,招金黄金,buy,9.000,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",16920.59
2025-06-10,15:00:00,000506,招金黄金,sell,9.000,T+2收盘回撤0.00%未触发延长，T+2收盘卖出 (no intraday-high optimization).,16915.59
2025-06-13,09:30:00,600281,华阳新材,buy,6.710,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",16910.59
2025-06-16,15:00:00,600281,华阳新材,sell,7.680,T+2收盘回撤14.46%未触发延长，T+2收盘卖出 (no intraday-high optimization).,19330.59
2025-06-19,09:30:00,002490,山东墨龙,buy,5.800,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",19325.59
2025-06-20,15:00:00,002490,山东墨龙,sell,7.020,T+2收盘回撤21.03%未触发延长，T+2收盘卖出 (no intraday-high optimization).,23345.79
2025-06-26,09:30:00,688591,泰凌微,buy,48.677,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",23340.79
2025-06-27,15:00:00,688591,泰凌微,sell,47.500,T+2收盘回撤-2.42%未触发延长，T+2收盘卖出 (no intraday-high optimization).,22865.07
2025-07-02,09:30:00,300324,旋极信息,buy,5.290,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",22859.38
2025-07-03,15:00:00,300324,旋极信息,sell,5.390,T+2收盘回撤1.89%未触发延长，T+2收盘卖出 (no intraday-high optimization).,23283.59
