操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-08,09:30:00,600983,惠而浦,buy,9.996,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=60%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-09,15:00:00,600983,惠而浦,sell,9.627,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9805.24
2025-01-14,09:30:00,002418,康盛股份,buy,3.900,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=60%; T signal -> T+1 open buy, limit-up open is unfilled.",9800.24
2025-01-15,15:00:00,002418,康盛股份,sell,3.860,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9735.24
2025-01-17,09:30:00,603777,来伊份,buy,22.300,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=60%; T signal -> T+1 open buy, limit-up open is unfilled.",9730.24
2025-01-20,15:00:00,603777,来伊份,sell,20.510,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9367.24
2025-01-22,09:30:00,002730,电光科技,buy,22.373,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=60%; T signal -> T+1 open buy, limit-up open is unfilled.",9362.24
2025-01-23,15:00:00,002730,电光科技,sell,27.336,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10349.83
2025-01-27,09:30:00,603286,日盈电子,buy,22.481,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=60%; T signal -> T+1 open buy, limit-up open is unfilled.",10344.83
2025-02-05,15:00:00,603286,日盈电子,sell,21.562,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10155.99
2025-02-07,09:30:00,002123,梦网科技,buy,12.800,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=60%; T signal -> T+1 open buy, limit-up open is unfilled.",10150.99
2025-02-10,15:00:00,002123,梦网科技,sell,15.610,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11269.99
2025-02-12,09:30:00,600081,东风科技,buy,12.715,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=60%; T signal -> T+1 open buy, limit-up open is unfilled.",11264.99
2025-02-13,15:00:00,600081,东风科技,sell,13.921,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11862.87
