操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-07,09:30:00,002418,康盛股份,buy,2.860,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-08,15:00:00,002418,康盛股份,sell,3.370,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11367.00
2025-01-16,09:30:00,600423,柳化股份,buy,3.780,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11362.00
2025-01-17,15:00:00,600423,柳化股份,sell,4.280,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,12557.00
2025-01-21,09:30:00,300718,长盛轴承,buy,47.780,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12552.00
2025-01-22,15:00:00,300718,长盛轴承,sell,53.749,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,13740.77
2025-01-27,09:30:00,000761,本钢板材,buy,3.360,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",13735.77
2025-02-05,15:00:00,000761,本钢板材,sell,3.030,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,12674.77
2025-02-07,09:30:00,600186,莲花控股,buy,6.060,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12669.77
2025-02-10,15:00:00,600186,莲花控股,sell,6.780,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,13816.77
2025-02-20,09:30:00,605088,冠盛股份,buy,32.433,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",13811.77
2025-02-21,15:00:00,605088,冠盛股份,sell,34.566,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,14446.77
2025-02-27,09:30:00,300245,天玑科技,buy,25.500,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",14441.77
2025-02-28,15:00:00,300245,天玑科技,sell,24.530,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,14048.77
2025-03-05,09:30:00,603912,佳力图,buy,10.179,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",14043.77
2025-03-06,15:00:00,603912,佳力图,sell,10.229,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,14093.28
2025-03-11,09:30:00,000678,襄阳轴承,buy,10.520,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",14088.28
2025-03-12,15:00:00,000678,襄阳轴承,sell,12.580,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,16143.28
2025-03-24,09:30:00,002278,神开股份,buy,11.117,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",16138.28
2025-03-25,15:00:00,002278,神开股份,sell,11.027,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,16034.84
2025-04-01,09:30:00,301075,多瑞医药,buy,25.330,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",16029.84
2025-04-02,15:00:00,301075,多瑞医药,sell,30.090,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,18404.84
2025-04-09,09:30:00,000677,恒天海龙,buy,4.250,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",18399.84
2025-04-10,15:00:00,000677,恒天海龙,sell,4.470,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,19142.84
2025-04-17,09:30:00,300941,创识科技,buy,24.000,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",19137.84
2025-04-18,15:00:00,300941,创识科技,sell,24.109,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,19198.49
2025-04-28,09:30:00,001255,博菲电气,buy,28.692,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",19193.49
2025-04-29,15:00:00,001255,博菲电气,sell,26.964,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,18324.63
2025-05-06,09:30:00,002915,中欣氟材,buy,21.990,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",18319.63
2025-05-07,15:00:00,002915,中欣氟材,sell,23.570,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,19262.63
2025-05-09,09:30:00,000981,山子高科,buy,2.060,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",19257.63
2025-05-12,15:00:00,000981,山子高科,sell,1.990,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,18734.63
2025-05-14,09:30:00,000767,晋控电力,buy,3.260,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",18729.63
2025-05-15,15:00:00,000767,晋控电力,sell,3.500,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,19804.63
2025-05-21,09:30:00,002735,王子新材,buy,15.461,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",19799.63
2025-05-22,15:00:00,002735,王子新材,sell,17.229,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,21563.55
2025-05-26,09:30:00,000859,国风新材,buy,7.920,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",21558.55
2025-05-27,15:00:00,000859,国风新材,sell,8.210,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,22162.55
2025-05-30,09:30:00,002743,富煌钢构,buy,7.500,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",22157.55
2025-06-03,15:00:00,002743,富煌钢构,sell,8.290,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,23969.55
2025-06-09,09:30:00,600800,渤海化学,buy,4.400,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",23964.55
2025-06-10,15:00:00,600800,渤海化学,sell,4.430,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,24088.55
2025-06-12,09:30:00,002556,辉隆股份,buy,6.674,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",24083.55
2025-06-13,15:00:00,002556,辉隆股份,sell,6.664,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,24050.78
2025-06-17,09:30:00,000590,古汉医药,buy,10.220,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",24045.78
2025-06-18,15:00:00,000590,古汉医药,sell,10.460,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,24472.78
2025-06-24,09:30:00,301176,逸豪新材,buy,29.030,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",24467.78
2025-06-25,15:00:00,301176,逸豪新材,sell,25.810,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,22530.78
2025-07-01,09:30:00,300600,国瑞科技,buy,15.560,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",22525.78
2025-07-02,15:00:00,300600,国瑞科技,sell,14.710,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,21585.78
2025-07-04,09:30:00,688520,神州细胞,buy,75.200,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",21580.78
2025-07-07,15:00:00,688520,神州细胞,sell,82.210,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,22977.78
2025-07-09,09:30:00,603256,宏和科技,buy,22.800,"model=mlp_h56_e320_gt1, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",22972.78
