操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-03,09:30:00,000533,顺钠股份,buy,6.660,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-06,15:00:00,000533,顺钠股份,sell,6.770,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10155.00
2025-01-08,09:30:00,600858,银座股份,buy,5.321,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",10150.00
2025-01-09,15:00:00,600858,银座股份,sell,6.375,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,12147.99
2025-01-14,09:30:00,600128,苏豪弘业,buy,10.562,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",12142.99
2025-01-15,15:00:00,600128,苏豪弘业,sell,12.613,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,14394.06
2025-01-17,09:30:00,600556,天下秀,buy,6.337,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",14389.06
2025-01-20,15:00:00,600556,天下秀,sell,6.018,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,13681.47
2025-01-22,09:30:00,002582,好想你,buy,9.048,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",13676.47
2025-01-23,15:00:00,002582,好想你,sell,9.983,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,15073.97
