操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-03,09:30:00,002495,佳隆股份,buy,2.969,"model=mlp_h64_e360_gt2, alpha=15; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-06,15:00:00,002495,佳隆股份,sell,2.511,T+2收盘收益-15.44%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).,8615.02
2025-01-08,09:30:00,002346,柘中股份,buy,11.575,"model=mlp_h64_e360_gt2, alpha=15; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",8610.02
2025-01-09,15:00:00,002346,柘中股份,sell,11.227,T+2收盘收益-3.01%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).,8396.15
2025-01-14,09:30:00,600128,苏豪弘业,buy,10.562,"model=mlp_h64_e360_gt2, alpha=15; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",8391.15
2025-01-15,15:00:00,600128,苏豪弘业,sell,12.613,T+2收盘收益19.42%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).,9821.83
2025-01-17,09:30:00,000607,华媒控股,buy,4.090,"model=mlp_h64_e360_gt2, alpha=15; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",9816.83
2025-01-20,15:00:00,000607,华媒控股,sell,3.900,T+2收盘收益-4.65%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).,9412.83
2025-01-22,09:30:00,000882,华联股份,buy,2.890,"model=mlp_h64_e360_gt2, alpha=15; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",9407.83
2025-01-23,15:00:00,000882,华联股份,sell,3.410,T+2收盘收益17.99%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).,10910.83
