操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-06,09:30:00,000852,石化机械,buy,7.550,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-07,15:00:00,000852,石化机械,sell,7.730,T+2收盘上涨2.38%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10188.00
2025-01-09,09:30:00,000533,顺钠股份,buy,8.480,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",10183.00
2025-01-10,15:00:00,000533,顺钠股份,sell,6.930,T+2收盘上涨-18.28%未触发延长，T+2收盘卖出 (no intraday-high optimization).,8628.00
2025-01-14,09:30:00,600128,苏豪弘业,buy,10.562,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",8623.00
2025-01-16,15:00:00,600128,苏豪弘业,sell,13.871,T+2收盘上涨19.42%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).,10934.51
2025-02-06,09:30:00,688620,安凯微,buy,15.000,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",10929.51
2025-02-10,15:00:00,688620,安凯微,sell,21.010,T+2收盘上涨26.00%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).,14530.51
2025-02-18,09:30:00,603990,麦迪科技,buy,16.200,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",14525.51
2025-02-19,15:00:00,603990,麦迪科技,sell,15.110,T+2收盘上涨-6.73%未触发延长，T+2收盘卖出 (no intraday-high optimization).,13648.51
2025-02-24,09:30:00,600126,杭钢股份,buy,12.350,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",13643.51
2025-02-25,15:00:00,600126,杭钢股份,sell,12.160,T+2收盘上涨-1.54%未触发延长，T+2收盘卖出 (no intraday-high optimization).,13467.51
2025-02-27,09:30:00,600592,龙溪股份,buy,15.120,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",13462.51
2025-02-28,15:00:00,600592,龙溪股份,sell,14.751,T+2收盘上涨-2.44%未触发延长，T+2收盘卖出 (no intraday-high optimization).,13162.49
2025-03-05,09:30:00,002313,日海智能,buy,11.980,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",13157.49
2025-03-06,15:00:00,002313,日海智能,sell,11.690,T+2收盘上涨-2.42%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12891.49
2025-03-11,09:30:00,301021,英诺激光,buy,35.307,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",12886.49
2025-03-12,15:00:00,301021,英诺激光,sell,33.563,T+2收盘上涨-4.94%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12358.31
2025-03-27,09:30:00,603579,荣泰健康,buy,20.348,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",12353.31
2025-03-31,15:00:00,603579,荣泰健康,sell,26.769,T+2收盘上涨19.60%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).,15559.03
2025-04-10,09:30:00,000016,深康佳A,buy,4.260,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",15554.03
2025-04-14,15:00:00,000016,深康佳A,sell,5.280,T+2收盘上涨19.72%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).,18813.03
2025-04-21,09:30:00,688093,世华科技,buy,25.039,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",18808.03
2025-04-22,15:00:00,688093,世华科技,sell,23.900,T+2收盘上涨-4.55%未触发延长，T+2收盘卖出 (no intraday-high optimization).,18119.61
2025-04-24,09:30:00,002094,青岛金王,buy,9.000,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",18114.61
2025-04-25,15:00:00,002094,青岛金王,sell,8.240,T+2收盘上涨-8.44%未触发延长，T+2收盘卖出 (no intraday-high optimization).,16741.61
2025-05-08,09:30:00,302132,中航成飞,buy,69.480,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",16736.61
2025-05-12,15:00:00,302132,中航成飞,sell,95.148,T+2收盘上涨14.11%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).,21865.20
2025-05-15,09:30:00,001316,润贝航科,buy,35.042,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",21860.20
2025-05-16,15:00:00,001316,润贝航科,sell,33.605,T+2收盘上涨-4.10%未触发延长，T+2收盘卖出 (no intraday-high optimization).,21136.85
2025-05-21,09:30:00,002735,王子新材,buy,15.461,"model=mlp_h40_e280_gt5, alpha=10; score>=threshold; gap_filter=[-2.00%, 4.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",21131.85
