操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-08,09:30:00,600858,银座股份,buy,5.321,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=custom_b0.408_r0.279_ld20_pb0.114 (broken<=40.80%, red>=27.90%, limit_down<=20, pullback<=11.40%); capital_use=96%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-09,15:00:00,600858,银座股份,sell,6.375,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11887.57
2025-01-14,09:30:00,600128,苏豪弘业,buy,10.562,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=custom_b0.408_r0.279_ld20_pb0.114 (broken<=40.80%, red>=27.90%, limit_down<=20, pullback<=11.40%); capital_use=96%; T signal -> T+1 open buy, limit-up open is unfilled.",11882.57
2025-01-15,15:00:00,600128,苏豪弘业,sell,12.613,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,13928.54
2025-01-17,09:30:00,600556,天下秀,buy,6.337,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=custom_b0.408_r0.279_ld20_pb0.114 (broken<=40.80%, red>=27.90%, limit_down<=20, pullback<=11.40%); capital_use=96%; T signal -> T+1 open buy, limit-up open is unfilled.",13923.54
2025-01-20,15:00:00,600556,天下秀,sell,6.018,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,13247.89
2025-01-22,09:30:00,002582,好想你,buy,9.048,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=custom_b0.408_r0.279_ld20_pb0.114 (broken<=40.80%, red>=27.90%, limit_down<=20, pullback<=11.40%); capital_use=96%; T signal -> T+1 open buy, limit-up open is unfilled.",13242.89
2025-01-23,15:00:00,002582,好想你,sell,9.983,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,14546.89
2025-02-06,09:30:00,300253,卫宁健康,buy,7.802,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=custom_b0.408_r0.279_ld20_pb0.114 (broken<=40.80%, red>=27.90%, limit_down<=20, pullback<=11.40%); capital_use=96%; T signal -> T+1 open buy, limit-up open is unfilled.",14541.89
2025-02-07,15:00:00,300253,卫宁健康,sell,9.250,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,16999.29
