操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-08,09:30:00,000010,美丽生态,buy,2.920,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-09,15:00:00,000010,美丽生态,sell,2.960,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10014.00
2025-01-15,09:30:00,603015,弘讯科技,buy,15.858,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10009.00
2025-01-16,15:00:00,603015,弘讯科技,sell,12.790,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9697.19
2025-01-20,09:30:00,002543,万和电气,buy,11.742,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9692.19
2025-01-21,15:00:00,002543,万和电气,sell,11.684,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9681.32
2025-01-23,09:30:00,002453,华软科技,buy,5.380,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9676.32
2025-01-24,15:00:00,002453,华软科技,sell,5.620,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9743.32
2025-02-12,09:30:00,600186,莲花控股,buy,7.500,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9738.32
2025-02-13,15:00:00,600186,莲花控股,sell,7.170,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9667.32
2025-02-17,09:30:00,600126,杭钢股份,buy,11.510,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9662.32
2025-02-18,15:00:00,600126,杭钢股份,sell,11.030,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9609.32
2025-02-24,09:30:00,000695,滨海能源,buy,11.650,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9604.32
2025-02-25,15:00:00,000695,滨海能源,sell,11.360,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9570.32
