操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-08,09:30:00,001309,德明利,buy,64.530,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-09,15:00:00,001309,德明利,sell,65.028,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10039.88
2025-01-16,09:30:00,002164,宁波东力,buy,6.330,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10034.88
2025-01-17,15:00:00,002164,宁波东力,sell,6.330,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10029.88
2025-02-10,09:30:00,002691,冀凯股份,buy,11.100,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10024.88
2025-02-11,15:00:00,002691,冀凯股份,sell,11.350,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10194.88
2025-02-13,09:30:00,000880,潍柴重机,buy,15.626,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10189.88
2025-02-14,15:00:00,000880,潍柴重机,sell,16.358,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10550.85
2025-02-21,09:30:00,002272,川润股份,buy,11.220,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10545.85
2025-02-24,15:00:00,002272,川润股份,sell,11.800,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10946.85
2025-02-26,09:30:00,603109,神驰机电,buy,22.104,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10941.85
2025-02-27,15:00:00,603109,神驰机电,sell,23.488,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11352.03
2025-03-05,09:30:00,301357,北方长龙,buy,35.560,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11347.03
2025-03-06,15:00:00,301357,北方长龙,sell,34.480,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11126.03
2025-03-11,09:30:00,688680,海优新材,buy,42.480,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11121.03
2025-03-12,15:00:00,688680,海优新材,sell,49.100,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,12440.03
2025-03-14,09:30:00,000723,美锦能源,buy,4.990,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12435.03
2025-03-17,15:00:00,000723,美锦能源,sell,4.920,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,12297.03
2025-03-19,09:30:00,002276,万马股份,buy,18.046,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12292.03
2025-03-20,15:00:00,002276,万马股份,sell,18.086,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,12306.96
2025-03-27,09:30:00,002757,南兴股份,buy,21.114,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12301.96
2025-03-28,15:00:00,002757,南兴股份,sell,19.994,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11849.16
2025-04-03,09:30:00,002427,尤夫股份,buy,5.080,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11844.16
2025-04-07,15:00:00,002427,尤夫股份,sell,4.910,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11533.16
2025-04-10,09:30:00,000016,深康佳A,buy,4.260,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",11528.16
2025-04-11,15:00:00,000016,深康佳A,sell,5.100,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,13287.16
2025-04-15,09:30:00,600643,爱建集团,buy,5.040,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",13282.16
2025-04-16,15:00:00,600643,爱建集团,sell,4.690,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,12542.16
2025-04-22,09:30:00,002155,湖南黄金,buy,20.083,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12537.16
2025-04-23,15:00:00,002155,湖南黄金,sell,17.979,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11690.73
