操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-08,09:30:00,002491,通鼎互联,buy,4.370,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-09,15:00:00,002491,通鼎互联,sell,4.470,T+2收盘回撤2.29%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10190.00
2025-01-15,09:30:00,002418,康盛股份,buy,4.300,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",10185.00
2025-01-17,15:00:00,002418,康盛股份,sell,3.650,T+2收盘回撤-5.81%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,8815.00
2025-01-22,09:30:00,002691,冀凯股份,buy,7.510,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",8810.00
2025-01-23,15:00:00,002691,冀凯股份,sell,8.430,T+2收盘回撤12.25%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9725.00
2025-01-27,09:30:00,300378,鼎捷数智,buy,34.451,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",9720.00
2025-02-05,15:00:00,300378,鼎捷数智,sell,35.000,T+2收盘回撤1.60%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9824.91
2025-02-07,09:30:00,300766,每日互动,buy,36.390,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",9819.91
2025-02-10,15:00:00,300766,每日互动,sell,47.930,T+2收盘回撤31.71%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12122.91
2025-02-12,09:30:00,000818,航锦科技,buy,27.100,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",12117.91
2025-02-13,15:00:00,000818,航锦科技,sell,30.250,T+2收盘回撤11.62%未触发延长，T+2收盘卖出 (no intraday-high optimization).,13372.91
2025-02-20,09:30:00,300571,平治信息,buy,42.000,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",13367.91
2025-02-24,15:00:00,300571,平治信息,sell,37.800,T+2收盘回撤-4.52%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,12522.91
2025-02-26,09:30:00,000892,欢瑞世纪,buy,4.700,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",12517.91
2025-02-27,15:00:00,000892,欢瑞世纪,sell,4.830,T+2收盘回撤2.77%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12811.91
2025-03-05,09:30:00,603912,佳力图,buy,10.179,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",12806.91
2025-03-06,15:00:00,603912,佳力图,sell,10.229,T+2收盘回撤0.49%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12856.42
2025-03-11,09:30:00,002760,凤形股份,buy,25.000,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",12851.42
2025-03-12,15:00:00,002760,凤形股份,sell,25.700,T+2收盘回撤2.80%未触发延长，T+2收盘卖出 (no intraday-high optimization).,13126.42
2025-03-14,09:30:00,002093,国脉科技,buy,13.142,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",13121.42
2025-03-17,15:00:00,002093,国脉科技,sell,13.924,T+2收盘回撤5.95%未触发延长，T+2收盘卖出 (no intraday-high optimization).,13742.31
2025-03-19,09:30:00,002553,南方精工,buy,19.737,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",13737.31
2025-03-20,15:00:00,002553,南方精工,sell,23.210,T+2收盘回撤17.60%未触发延长，T+2收盘卖出 (no intraday-high optimization).,15816.47
2025-03-24,09:30:00,000571,新大洲A,buy,5.080,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",15811.47
2025-03-25,15:00:00,000571,新大洲A,sell,5.020,T+2收盘回撤-1.18%未触发延长，T+2收盘卖出 (no intraday-high optimization).,15638.47
2025-03-27,09:30:00,300421,力星股份,buy,18.850,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",15633.47
2025-03-31,15:00:00,300421,力星股份,sell,18.086,T+2收盘回撤-6.47%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,15093.72
2025-04-03,09:30:00,002549,凯美特气,buy,9.900,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",15088.72
2025-04-07,15:00:00,002549,凯美特气,sell,11.120,T+2收盘回撤12.32%未触发延长，T+2收盘卖出 (no intraday-high optimization).,16669.72
2025-04-10,09:30:00,000016,深康佳A,buy,4.260,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",16664.72
2025-04-11,15:00:00,000016,深康佳A,sell,5.100,T+2收盘回撤19.72%未触发延长，T+2收盘卖出 (no intraday-high optimization).,19599.72
2025-04-15,09:30:00,688658,悦康药业,buy,16.060,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",19594.72
2025-04-16,15:00:00,688658,悦康药业,sell,16.380,T+2收盘回撤1.99%未触发延长，T+2收盘卖出 (no intraday-high optimization).,19909.72
2025-04-18,09:30:00,601086,国芳集团,buy,10.440,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",19904.72
2025-04-21,15:00:00,601086,国芳集团,sell,12.697,T+2收盘回撤21.62%未触发延长，T+2收盘卖出 (no intraday-high optimization).,23736.15
2025-04-23,09:30:00,600865,百大集团,buy,12.740,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",23731.05
2025-04-25,15:00:00,600865,百大集团,sell,9.484,T+2收盘回撤-17.94%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,18516.42
2025-04-30,09:30:00,002365,永安药业,buy,13.154,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",18511.42
2025-05-07,15:00:00,002365,永安药业,sell,12.008,T+2收盘回撤-11.97%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,17131.22
2025-05-09,09:30:00,002471,中超控股,buy,4.200,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",17126.22
2025-05-12,15:00:00,002471,中超控股,sell,4.150,T+2收盘回撤-1.19%未触发延长，T+2收盘卖出 (no intraday-high optimization).,16941.22
2025-05-14,09:30:00,300840,酷特智能,buy,22.818,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",16936.22
2025-05-15,15:00:00,300840,酷特智能,sell,23.057,T+2收盘回撤1.05%未触发延长，T+2收盘卖出 (no intraday-high optimization).,17074.51
2025-05-19,09:30:00,002190,成飞集成,buy,38.330,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",17069.51
2025-05-20,15:00:00,002190,成飞集成,sell,42.500,T+2收盘回撤10.88%未触发延长，T+2收盘卖出 (no intraday-high optimization).,18732.51
2025-05-22,09:30:00,605136,丽人丽妆,buy,12.660,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",18727.51
2025-05-23,15:00:00,605136,丽人丽妆,sell,14.510,T+2收盘回撤14.61%未触发延长，T+2收盘卖出 (no intraday-high optimization).,21127.51
2025-05-27,09:30:00,603011,合锻智能,buy,15.460,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",21122.51
2025-05-28,15:00:00,603011,合锻智能,sell,17.810,T+2收盘回撤15.20%未触发延长，T+2收盘卖出 (no intraday-high optimization).,23937.17
2025-05-30,09:30:00,601086,国芳集团,buy,14.715,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",23932.02
2025-06-04,15:00:00,601086,国芳集团,sell,14.874,T+2收盘回撤-8.11%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,24149.53
2025-06-06,09:30:00,603093,南华期货,buy,17.900,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",24144.16
2025-06-09,15:00:00,603093,南华期货,sell,20.560,T+2收盘回撤14.86%未触发延长，T+2收盘卖出 (no intraday-high optimization).,27329.99
2025-06-11,09:30:00,300299,富春股份,buy,8.340,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",27323.94
2025-06-12,15:00:00,300299,富春股份,sell,8.210,T+2收盘回撤-1.56%未触发延长，T+2收盘卖出 (no intraday-high optimization).,26940.99
2025-06-16,09:30:00,300164,通源石油,buy,5.430,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",26935.02
2025-06-17,15:00:00,300164,通源石油,sell,7.040,T+2收盘回撤29.65%未触发延长，T+2收盘卖出 (no intraday-high optimization).,34011.27
2025-06-19,09:30:00,002490,山东墨龙,buy,5.800,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",34003.73
2025-06-20,15:00:00,002490,山东墨龙,sell,7.020,T+2收盘回撤21.03%未触发延长，T+2收盘卖出 (no intraday-high optimization).,40338.61
2025-06-24,09:30:00,002490,山东墨龙,buy,6.950,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",40329.57
2025-06-26,15:00:00,002490,山东墨龙,sell,6.800,T+2收盘回撤-8.78%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,39540.73
2025-07-01,09:30:00,001298,好上好,buy,34.000,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",39532.23
2025-07-02,15:00:00,001298,好上好,sell,35.160,T+2收盘回撤3.41%未触发延长，T+2收盘卖出 (no intraday-high optimization).,40683.44
2025-07-04,09:30:00,301176,逸豪新材,buy,32.690,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",40674.45
2025-07-08,15:00:00,301176,逸豪新材,sell,37.930,T+2收盘回撤-3.30%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,46428.02
2025-07-10,09:30:00,002951,金时科技,buy,18.690,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",46417.74
2025-07-14,15:00:00,002951,金时科技,sell,15.970,T+2收盘回撤-10.54%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,40424.96
2025-07-16,09:30:00,300502,新易盛,buy,161.710,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",40416.87
2025-07-17,15:00:00,300502,新易盛,sell,183.500,T+2收盘回撤13.47%未触发延长，T+2收盘卖出 (no intraday-high optimization).,44765.70
2025-07-21,09:30:00,603176,汇通集团,buy,6.300,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",44755.77
2025-07-22,15:00:00,603176,汇通集团,sell,6.480,T+2收盘回撤2.86%未触发延长，T+2收盘卖出 (no intraday-high optimization).,45879.57
2025-07-25,09:30:00,301217,铜冠铜箔,buy,22.526,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",45869.43
2025-07-28,15:00:00,301217,铜冠铜箔,sell,25.064,T+2收盘回撤11.27%未触发延长，T+2收盘卖出 (no intraday-high optimization).,50427.30
2025-07-30,09:30:00,688110,东芯股份,buy,49.030,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",50416.27
2025-07-31,15:00:00,688110,东芯股份,sell,64.760,T+2收盘回撤32.08%未触发延长，T+2收盘卖出 (no intraday-high optimization).,64558.70
2025-08-05,09:30:00,600513,联环药业,buy,21.350,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",64544.29
2025-08-06,15:00:00,600513,联环药业,sell,22.380,T+2收盘回撤4.82%未触发延长，T+2收盘卖出 (no intraday-high optimization).,67310.18
2025-08-08,09:30:00,603516,淳中科技,buy,91.290,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=90%; T signal -> T+1 open buy, limit-up open is unfilled.",67296.49
2025-08-11,15:00:00,603516,淳中科技,sell,95.390,T+2收盘回撤4.49%未触发延长，T+2收盘卖出 (no intraday-high optimization).,69742.18
