操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-15,09:30:00,002815,崇达技术,buy,10.685,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[-0.50%, 1.50%], max_board=None; risk_profile=ultra (broken<=35.00%, red>=30.00%, limit_down<=12, pullback<=7.00%); capital_use=95%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-16,15:00:00,002815,崇达技术,sell,10.507,T+2收盘上涨-1.67%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9847.67
2025-01-20,09:30:00,605179,一鸣食品,buy,23.796,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[-0.50%, 1.50%], max_board=None; risk_profile=ultra (broken<=35.00%, red>=30.00%, limit_down<=12, pullback<=7.00%); capital_use=95%; T signal -> T+1 open buy, limit-up open is unfilled.",9842.67
2025-01-21,15:00:00,605179,一鸣食品,sell,23.516,T+2收盘上涨-1.17%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9753.79
2025-02-20,09:30:00,601777,千里科技,buy,8.680,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[-0.50%, 1.50%], max_board=None; risk_profile=ultra (broken<=35.00%, red>=30.00%, limit_down<=12, pullback<=7.00%); capital_use=95%; T signal -> T+1 open buy, limit-up open is unfilled.",9748.79
2025-02-21,15:00:00,601777,千里科技,sell,9.050,T+2收盘上涨4.26%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10113.79
2025-02-28,09:30:00,002369,卓翼科技,buy,13.730,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[-0.50%, 1.50%], max_board=None; risk_profile=ultra (broken<=35.00%, red>=30.00%, limit_down<=12, pullback<=7.00%); capital_use=95%; T signal -> T+1 open buy, limit-up open is unfilled.",10108.79
2025-03-03,15:00:00,002369,卓翼科技,sell,11.880,T+2收盘上涨-13.47%未触发延长，T+2收盘卖出 (no intraday-high optimization).,8993.79
2025-03-11,09:30:00,000678,襄阳轴承,buy,10.520,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[-0.50%, 1.50%], max_board=None; risk_profile=ultra (broken<=35.00%, red>=30.00%, limit_down<=12, pullback<=7.00%); capital_use=95%; T signal -> T+1 open buy, limit-up open is unfilled.",8988.79
2025-03-13,15:00:00,000678,襄阳轴承,sell,13.840,T+2收盘上涨19.58%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).,11639.79
2025-03-17,09:30:00,600429,三元股份,buy,4.660,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[-0.50%, 1.50%], max_board=None; risk_profile=ultra (broken<=35.00%, red>=30.00%, limit_down<=12, pullback<=7.00%); capital_use=95%; T signal -> T+1 open buy, limit-up open is unfilled.",11634.79
2025-03-18,15:00:00,600429,三元股份,sell,4.540,T+2收盘上涨-2.57%未触发延长，T+2收盘卖出 (no intraday-high optimization).,11354.39
2025-04-10,09:30:00,000016,深康佳A,buy,4.260,"model=mlp_h48_e300_gt0, alpha=10; score>=threshold; gap_filter=[-0.50%, 1.50%], max_board=None; risk_profile=ultra (broken<=35.00%, red>=30.00%, limit_down<=12, pullback<=7.00%); capital_use=95%; T signal -> T+1 open buy, limit-up open is unfilled.",11349.39
