操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-03,09:30:00,000533,顺钠股份,buy,6.660,"model=mlp_h64_e360_gt2, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-06,15:00:00,000533,顺钠股份,sell,6.770,T+2收盘回撤1.65%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10155.00
2025-01-08,09:30:00,000533,顺钠股份,buy,7.390,"model=mlp_h64_e360_gt2, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",10150.00
2025-01-09,15:00:00,000533,顺钠股份,sell,7.700,T+2收盘回撤4.19%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10548.00
2025-01-13,09:30:00,603990,麦迪科技,buy,13.000,"model=mlp_h64_e360_gt2, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",10543.00
2025-01-14,15:00:00,603990,麦迪科技,sell,12.680,T+2收盘回撤-2.46%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10282.00
2025-01-16,09:30:00,002265,建设工业,buy,34.650,"model=mlp_h64_e360_gt2, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",10277.00
2025-01-20,15:00:00,002265,建设工业,sell,30.500,T+2收盘回撤-16.45%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,9442.00
2025-01-22,09:30:00,002691,冀凯股份,buy,7.510,"model=mlp_h64_e360_gt2, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",9437.00
2025-01-23,15:00:00,002691,冀凯股份,sell,8.430,T+2收盘回撤12.25%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10536.00
2025-01-27,09:30:00,000856,冀东装备,buy,11.570,"model=mlp_h64_e360_gt2, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",10531.00
2025-02-05,15:00:00,000856,冀东装备,sell,11.460,T+2收盘回撤-0.95%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10427.00
2025-02-07,09:30:00,300766,每日互动,buy,36.390,"model=mlp_h64_e360_gt2, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",10422.00
