操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-03,09:30:00,000533,顺钠股份,buy,6.660,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-06,15:00:00,000533,顺钠股份,sell,6.770,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10144.00
2025-01-08,09:30:00,600858,银座股份,buy,5.321,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",10139.00
2025-01-09,15:00:00,600858,银座股份,sell,6.375,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,12031.57
2025-01-14,09:30:00,600128,苏豪弘业,buy,10.562,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",12026.57
2025-01-15,15:00:00,600128,苏豪弘业,sell,12.613,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,14277.64
2025-01-17,09:30:00,600556,天下秀,buy,6.337,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",14272.64
2025-01-20,15:00:00,600556,天下秀,sell,6.018,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,13565.05
2025-01-22,09:30:00,002582,好想你,buy,9.048,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",13560.05
2025-01-23,15:00:00,002582,好想你,sell,9.983,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,14864.05
2025-02-06,09:30:00,300253,卫宁健康,buy,7.802,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",14859.05
2025-02-07,15:00:00,300253,卫宁健康,sell,9.250,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,17461.30
2025-02-11,09:30:00,688272,富吉瑞,buy,22.000,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",17456.30
2025-02-12,15:00:00,688272,富吉瑞,sell,24.000,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,18851.30
2025-02-14,09:30:00,605296,神农集团,buy,27.425,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",18846.30
2025-02-17,15:00:00,605296,神农集团,sell,26.615,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,18355.59
2025-02-20,09:30:00,605088,冠盛股份,buy,32.433,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",18350.59
2025-02-21,15:00:00,605088,冠盛股份,sell,34.566,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,19412.27
2025-02-25,09:30:00,000158,常山北明,buy,27.470,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",19407.27
2025-02-26,15:00:00,000158,常山北明,sell,27.410,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,19366.27
2025-03-11,09:30:00,000678,襄阳轴承,buy,10.520,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",19361.27
2025-03-12,15:00:00,000678,襄阳轴承,sell,12.580,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,23063.60
2025-03-14,09:30:00,002093,国脉科技,buy,13.142,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",23058.02
2025-03-17,15:00:00,002093,国脉科技,sell,13.924,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,24382.12
2025-03-19,09:30:00,603139,康惠股份,buy,18.820,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",24376.47
2025-03-20,15:00:00,603139,康惠股份,sell,18.820,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,24370.83
2025-03-24,09:30:00,002553,南方精工,buy,25.758,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",24365.03
2025-03-25,15:00:00,002553,南方精工,sell,25.281,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,23929.37
2025-03-27,09:30:00,600468,百利电气,buy,5.350,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",23923.62
2025-03-28,15:00:00,600468,百利电气,sell,4.730,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,21252.54
2025-04-01,09:30:00,000601,韶能股份,buy,5.420,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",21247.39
2025-04-02,15:00:00,000601,韶能股份,sell,5.930,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,23179.76
2025-04-10,09:30:00,000016,深康佳A,buy,4.260,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.50%, 2.50%], max_board=None; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=98%; T signal -> T+1 open buy, limit-up open is unfilled.",23174.11
2025-04-11,15:00:00,000016,深康佳A,sell,5.100,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,27619.35
