操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-08,09:30:00,000010,美丽生态,buy,2.920,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-09,15:00:00,000010,美丽生态,sell,2.960,T+2收盘上涨1.37%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9994.00
2025-02-12,09:30:00,000890,法尔胜,buy,3.560,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",9989.00
2025-02-13,15:00:00,000890,法尔胜,sell,3.470,T+2收盘上涨-2.53%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9975.00
2025-02-26,09:30:00,000892,欢瑞世纪,buy,4.700,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",9970.00
2025-02-27,15:00:00,000892,欢瑞世纪,sell,4.830,T+2收盘上涨2.77%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9978.00
2025-04-10,09:30:00,000016,深康佳A,buy,4.260,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",9973.00
2025-04-14,15:00:00,000016,深康佳A,sell,5.280,T+2收盘上涨19.72%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).,10070.00
2025-05-07,09:30:00,600396,华电辽能,buy,3.060,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",10065.00
2025-05-09,15:00:00,600396,华电辽能,sell,3.760,T+2收盘上涨12.09%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).,10130.00
2025-05-22,09:30:00,600828,茂业商业,buy,4.590,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",10125.00
2025-05-23,15:00:00,600828,茂业商业,sell,4.190,T+2收盘上涨-8.71%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10080.00
2025-06-27,09:30:00,600734,实达集团,buy,4.160,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",10075.00
2025-06-30,15:00:00,600734,实达集团,sell,4.230,T+2收盘上涨1.68%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10077.00
2025-09-25,09:30:00,600103,青山纸业,buy,3.830,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",10072.00
2025-09-26,15:00:00,600103,青山纸业,sell,3.660,T+2收盘上涨-4.44%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10050.00
2025-10-23,09:30:00,000637,茂化实华,buy,4.960,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",10045.00
2025-10-24,15:00:00,000637,茂化实华,sell,5.150,T+2收盘上涨3.83%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10059.00
2025-11-24,09:30:00,000838,财信发展,buy,3.690,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",10054.00
2025-11-25,15:00:00,000838,财信发展,sell,3.610,T+2收盘上涨-2.17%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10041.00
2025-12-16,09:30:00,601908,京运通,buy,4.220,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",10036.00
2025-12-17,15:00:00,601908,京运通,sell,4.160,T+2收盘上涨-1.42%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10025.00
2026-01-12,09:30:00,600807,济高发展,buy,3.470,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",10020.00
2026-01-13,15:00:00,600807,济高发展,sell,3.570,T+2收盘上涨2.88%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10025.00
2026-02-05,09:30:00,600759,洲际油气,buy,4.930,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",10020.00
2026-02-09,15:00:00,600759,洲际油气,sell,5.400,T+2收盘上涨11.56%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).,10062.00
