操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-08,09:30:00,600858,银座股份,buy,5.321,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-09,15:00:00,600858,银座股份,sell,6.375,T+2收盘回撤19.81%>-5%，T+2收盘卖出 (no intraday-high optimization).,11887.57
2025-01-15,09:30:00,000056,皇庭国际,buy,2.750,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",11882.57
2025-01-16,15:00:00,000056,皇庭国际,sell,2.820,T+2收盘回撤2.55%>-5%，T+2收盘卖出 (no intraday-high optimization).,12171.57
2025-01-20,09:30:00,603082,北自科技,buy,37.396,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",12166.57
2025-01-21,15:00:00,603082,北自科技,sell,39.684,T+2收盘回撤6.12%>-5%，T+2收盘卖出 (no intraday-high optimization).,12847.77
2025-01-23,09:30:00,000856,冀东装备,buy,9.770,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",12842.77
2025-01-24,15:00:00,000856,冀东装备,sell,11.570,T+2收盘回撤18.42%>-5%，T+2收盘卖出 (no intraday-high optimization).,15177.77
2025-02-07,09:30:00,600889,南京化纤,buy,19.820,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",15172.77
2025-02-10,15:00:00,600889,南京化纤,sell,19.950,T+2收盘回撤0.66%>-5%，T+2收盘卖出 (no intraday-high optimization).,15258.77
2025-02-12,09:30:00,000156,华数传媒,buy,8.420,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",15253.77
2025-02-13,15:00:00,000156,华数传媒,sell,9.233,T+2收盘回撤9.65%>-5%，T+2收盘卖出 (no intraday-high optimization).,16630.31
2025-02-17,09:30:00,301459,丰茂股份,buy,39.659,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",16625.31
2025-02-18,15:00:00,301459,丰茂股份,sell,47.270,T+2收盘回撤19.19%>-5%，T+2收盘卖出 (no intraday-high optimization).,19664.88
2025-02-20,09:30:00,605088,冠盛股份,buy,32.433,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",19659.88
2025-02-21,15:00:00,605088,冠盛股份,sell,34.566,T+2收盘回撤6.58%>-5%，T+2收盘卖出 (no intraday-high optimization).,20934.70
2025-02-25,09:30:00,000158,常山北明,buy,27.470,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",20929.70
2025-02-26,15:00:00,000158,常山北明,sell,27.410,T+2收盘回撤-0.22%>-5%，T+2收盘卖出 (no intraday-high optimization).,20882.70
2025-03-11,09:30:00,000678,襄阳轴承,buy,10.520,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",20877.70
2025-03-12,15:00:00,000678,襄阳轴承,sell,12.580,T+2收盘回撤19.58%>-5%，T+2收盘卖出 (no intraday-high optimization).,24785.73
2025-03-14,09:30:00,002093,国脉科技,buy,13.142,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",24779.81
2025-03-17,15:00:00,002093,国脉科技,sell,13.924,T+2收盘回撤5.95%>-5%，T+2收盘卖出 (no intraday-high optimization).,26181.80
2025-03-19,09:30:00,603139,康惠股份,buy,18.820,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",26175.69
2025-03-20,15:00:00,603139,康惠股份,sell,18.820,T+2收盘回撤0.00%>-5%，T+2收盘卖出 (no intraday-high optimization).,26169.57
2025-03-27,09:30:00,600468,百利电气,buy,5.350,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.37%, 2.61%], max_board=None; risk_profile=custom_b0.415_r0.266_ld10_pb0.074 (broken<=41.50%, red>=26.60%, limit_down<=10, pullback<=7.40%); capital_use=99%; T signal -> T+1 open buy, limit-up open is unfilled.",26163.15
2025-03-31,15:00:00,600468,百利电气,sell,4.660,T+2收盘回撤-11.59%<=-5%，延长到T+3收盘卖出 (no intraday-high optimization).,22845.56
